reference;nombre de pieces;nombre de chambres;surface;surface terrain;prix m2
F25/0865 /  15 octobre 2024;2.0;1.0;39.0;90.0;5.051
F48/2926 /  17 octobre 2024;2.0;1.0;39.0;;12.051
F23/0948 /  17 octobre 2024;4.0;3.0;180.0;10.4;956.0
F53/0250 /  15 octobre 2024;2.0;1.0;39.0;;4.923
F21/0568 /  17 octobre 2024;3.0;2.0;55.0;;7.873
F46/1203 /  18 octobre 2024;9.0;7.0;182.0;370.0;
E98/2992 /  17 octobre 2024;5.0;3.0;114.0;634.0;1.93
F51/1169 /  17 octobre 2024;1.0;1.0;;;
F45/0883 /  18 octobre 2024;6.0;4.0;90.0;;1.106
E89/2652 /  18 octobre 2024;3.0;2.0;61.0;;4.328
F26/0771 /  17 octobre 2024;2.0;1.0;28.5;;10.0
F46/1128 /  17 octobre 2024;5.0;3.0;116.0;648.0;4.621
F07/1559 /  17 octobre 2024;4.0;3.0;70.0;;4.071
E65/1183 /  17 octobre 2024;4.0;2.0;89.0;;2.461
F19/1825 /  19 octobre 2024;5.0;4.0;120.0;3.0;2.792
F25/1387 /  19 octobre 2024;5.0;3.0;150.0;400.0;6.333
E78/2855 /  18 octobre 2024;7.0;4.0;185.0;1.6;1.946
F34/2013 /  19 octobre 2024;4.0;2.0;80.0;;488.0
F45/0112 /  17 octobre 2024;5.0;4.0;130.0;1.5;2.192
F41/1094 /  17 octobre 2024;;;1.0;;
F47/0656 /  17 octobre 2024;5.0;3.0;110.0;167.0;5.9
F47/2967 /  17 octobre 2024;6.0;4.0;175.0;;5.086
F50/0768 /  17 octobre 2024;4.0;2.0;80.0;;
F40/1597 /  19 octobre 2024;5.0;4.0;114.0;845.0;4.605
E51/1385 /  19 octobre 2024;10.0;6.0;240.0;2.5;
D78/1700 /  19 octobre 2024;;;386.0;;
F21/1679 /  12 octobre 2024;5.0;3.0;111.0;421.0;3.955
F35/2807 /  17 octobre 2024;;;87.0;;
F44/0151 /  17 octobre 2024;4.0;2.0;85.0;;9.765
E97/1595 /  17 octobre 2024;2.0;1.0;51.96;;3.368
F19/1804 /  17 octobre 2024;5.0;3.0;117.5;;11.83
F31/1414 /  17 octobre 2024;4.0;3.0;96.0;1.05;2.5
F52/0822 /  18 octobre 2024;7.0;4.0;149.0;1.8;2.215
F36/0818 /  19 octobre 2024;7.0;4.0;174.0;286.0;3.908
F25/0982 /  17 octobre 2024;5.0;4.0;158.0;1.0;4.367
E24/0516 /  18 octobre 2024;1.0;;20.0;;8.75
E37/2091 /  18 octobre 2024;11.0;5.0;229.0;309.0;3.886
F35/3431 /  17 octobre 2024;6.0;5.0;117.0;616.0;3.248
F51/1069 /  17 octobre 2024;3.0;2.0;80.0;;7.0
F47/1575 /  17 octobre 2024;6.0;3.0;207.0;345.0;7.198
F01/0900 /  18 octobre 2024;3.0;2.0;52.0;;9.423
E98/0266 /  18 octobre 2024;15.0;7.0;424.5;1.4;1.461
F05/2544 /  18 octobre 2024;3.0;2.0;68.0;;5.368
E46/1866 /  17 octobre 2024;1.0;;17.0;;9.588
F08/0417 /  18 octobre 2024;2.0;1.0;67.82;;7.815
F42/0607 /  17 octobre 2024;3.0;2.0;60.21;;9.301
F32/2559 /  17 octobre 2024;6.0;4.0;161.0;1.5;2.621
F48/0708 /  17 octobre 2024;;;1.358;;62.0
E60/2982 /  19 octobre 2024;;;70.0;;
F27/0288 /  17 octobre 2024;4.0;3.0;115.0;375.0;2.391
F38/0374 /  17 octobre 2024;5.0;4.0;150.0;796.0;3.967
F25/1328 /  18 octobre 2024;6.0;4.0;170.0;980.0;3.641
F00/0587 /  17 octobre 2024;3.0;2.0;70.0;;5.5
F34/2968 /  17 octobre 2024;7.0;6.0;189.0;330.0;3.439
F28/0821 /  17 octobre 2024;4.0;3.0;67.0;;1.567
E48/0165 /  19 octobre 2024;5.0;3.0;85.0;;
F51/1690 /  18 octobre 2024;3.0;2.0;60.0;;3.633
F51/1572 /  17 octobre 2024;;2.0;27.0;;
F43/0223 /  17 octobre 2024;4.0;2.0;99.4;;2.211
F49/1095 /  19 octobre 2024;;;1.588;;161.0
F34/0851 /  17 octobre 2024;4.0;3.0;77.0;;3.442
E50/1466 /  17 octobre 2024;;;;;
F48/2614 /  16 octobre 2024;3.0;2.0;80.0;;5.5
F53/1750 /  19 octobre 2024;9.0;6.0;182.0;561.0;2.308
F24/1329 /  19 octobre 2024;2.0;1.0;45.38;;7.823
F49/2201 /  17 octobre 2024;;;2.798;;45.0
E34/0901 /  17 octobre 2024;7.0;4.0;187.0;;10.695
E97/1564 /  17 octobre 2024;3.0;2.0;67.0;;6.791
F35/0141 /  18 octobre 2024;5.0;4.0;206.0;1.56;1.447
F19/1426 /  19 octobre 2024;2.0;1.0;50.0;;2.8
F27/1816 /  19 octobre 2024;4.0;3.0;128.0;;6.633
E96/2424 /  17 octobre 2024;;;1.391;;58.0
F14/1662 /  19 octobre 2024;3.0;2.0;82.0;;6.707
F39/0629 /  17 octobre 2024;3.0;2.0;60.0;;2.395
F49/2550 /  17 octobre 2024;;;43.0;;
F20/0545 /  17 octobre 2024;2.0;1.0;44.0;;8.068
E93/0110 /  19 octobre 2024;4.0;3.0;90.0;;8.0
F29/0297 /  17 octobre 2024;;;122.0;;
F36/0101 /  18 octobre 2024;2.0;1.0;50.0;;8.9
F01/1753 /  18 octobre 2024;2.0;1.0;48.0;;
F49/2759 /  17 octobre 2024;3.0;2.0;70.5;;2.695
F49/0238 /  17 octobre 2024;3.0;2.0;61.0;;4.672
F24/1433 /  18 octobre 2024;6.0;4.0;104.0;170.0;5.962
F37/2696 /  17 octobre 2024;8.0;5.0;180.0;;1.722
F34/1257 /  19 octobre 2024;2.0;1.0;32.5;;5.723
F38/0862 /  17 octobre 2024;;;150.0;;
F35/0430 /  17 octobre 2024;1.0;;14.6;;
F44/0732 /  17 octobre 2024;4.0;3.0;110.0;15.7;3.545
F51/2039 /  17 octobre 2024;;;900.0;;133.0
F31/1736 /  18 octobre 2024;4.0;3.0;78.0;;3.59
F31/0641 /  17 octobre 2024;3.0;1.0;45.0;;8.222
F28/0761 /  17 octobre 2024;6.0;5.0;140.0;743.0;
F00/1864 /  18 octobre 2024;5.0;3.0;110.0;994.0;2.864
F48/1259 /  18 octobre 2024;5.0;3.0;193.0;1.6;1.114
E80/2285 /  19 octobre 2024;7.0;3.0;130.0;176.0;3.038
F41/1514 /  17 octobre 2024;2.0;1.0;61.0;;3.18
F36/2359 /  17 octobre 2024;;4.0;200.0;;
F12/1142 /  19 octobre 2024;5.0;3.0;125.0;223.0;
F51/2802 /  18 octobre 2024;4.0;3.0;94.0;113.0;5.84
F05/2307 /  17 octobre 2024;3.0;2.0;65.0;;5.077
F41/1686 /  17 octobre 2024;6.0;4.0;125.0;1.0;2.8
F36/2076 /  19 octobre 2024;4.0;2.0;92.0;;1.391
F00/0672 /  17 octobre 2024;4.0;3.0;86.0;;9.244
F35/2354 /  19 octobre 2024;3.0;2.0;73.0;;5.055
F46/0135 /  17 octobre 2024;7.0;5.0;150.0;264.0;4.527
F44/0280 /  13 octobre 2024;7.0;4.0;152.0;10.738;
E44/2709 /  17 octobre 2024;1.0;;31.0;;9.194
F39/0902 /  19 octobre 2024;3.0;2.0;70.0;;3.243
F50/2571 /  17 octobre 2024;1.0;;25.0;;3.0
F46/2006 /  17 octobre 2024;12.0;5.0;450.0;2.08;878.0
F29/2665 /  17 octobre 2024;3.0;2.0;98.0;;4.276
F29/0720 /  17 octobre 2024;7.0;5.0;162.0;250.0;
F43/1100 /  19 octobre 2024;2.0;1.0;34.0;30.0;4.559
F44/0648 /  17 octobre 2024;7.0;5.0;235.0;1.129;2.043
F34/0164 /  17 octobre 2024;6.0;3.0;172.0;56.0;2.297
E20/1443 /  19 octobre 2024;4.0;3.0;107.0;120.0;3.168
E15/2079 /  13 octobre 2024;7.0;5.0;160.0;1.235;
F34/2865 /  17 octobre 2024;4.0;3.0;78.0;;2.885
F34/0019 /  17 octobre 2024;6.0;5.0;375.0;6.329;1.493
F26/1451 /  18 octobre 2024;1.0;;33.8;;6.953
F50/1835 /  19 octobre 2024;3.0;2.0;65.0;863.0;2.537
E89/0826 /  17 octobre 2024;5.0;3.0;112.0;;6.42
F28/1407 /  19 octobre 2024;6.0;5.0;237.0;350.0;2.89
E67/1223 /  18 octobre 2024;5.0;4.0;219.0;690.0;1.548
F52/0762 /  17 octobre 2024;5.0;4.0;154.0;800.0;3.864
F48/0719 /  17 octobre 2024;3.0;1.0;80.0;297.0;875.0
F51/3081 /  17 octobre 2024;3.0;2.0;62.0;;4.516
F19/2505 /  19 octobre 2024;2.0;1.0;44.0;;7.682
F22/1351 /  18 octobre 2024;6.0;4.0;168.0;1.5;2.083
F35/0962 /  17 octobre 2024;6.0;6.0;600.0;6.0;4.333
F44/0262 /  17 octobre 2024;5.0;4.0;78.0;150.0;2.179
E74/2736 /  17 octobre 2024;3.0;2.0;74.5;;5.57
E65/3057 /  18 octobre 2024;7.0;5.0;147.0;480.0;3.197
F33/1142 /  18 octobre 2024;6.0;4.0;113.0;600.0;3.628
F35/0905 /  17 octobre 2024;3.0;2.0;61.0;;5.328
F41/2354 /  17 octobre 2024;3.0;2.0;48.0;;6.771
F31/0770 /  17 octobre 2024;5.0;4.0;92.0;450.0;4.674
E20/2412 /  18 octobre 2024;7.0;4.0;210.0;469.0;5.238
E91/0766 /  18 octobre 2024;3.0;2.0;62.0;;4.468
F53/2014 /  19 octobre 2024;3.0;2.0;51.56;;2.929
F40/1778 /  19 octobre 2024;6.0;5.0;136.0;1.016;7.11
F23/1702 /  19 octobre 2024;;2.0;;;
F51/2900 /  17 octobre 2024;1.0;;22.79;;5.178
F21/0902 /  18 octobre 2024;1.0;;25.0;;5.68
F27/0656 /  17 octobre 2024;6.0;4.0;153.0;784.0;2.935
F23/2725 /  17 octobre 2024;4.0;2.0;78.0;;3.564
F36/0820 /  18 octobre 2024;5.0;3.0;103.0;;7.757
F18/1146 /  13 octobre 2024;2.0;1.0;27.0;;
F19/1021 /  17 octobre 2024;2.0;1.0;44.0;;12.045
F40/0506 /  17 octobre 2024;4.0;3.0;110.0;30.52;6.182
F44/1762 /  19 octobre 2024;4.0;4.0;90.0;99.0;5.5
F50/2225 /  17 octobre 2024;2.0;1.0;30.0;;12.333
F52/2846 /  17 octobre 2024;2.0;1.0;28.0;;6.786
F46/2387 /  17 octobre 2024;2.0;1.0;34.0;;10.588
E84/1536 /  17 octobre 2024;5.0;3.0;135.0;;11.037
F14/1308 /  18 octobre 2024;4.0;2.0;120.0;2.4;1.663
F52/0949 /  17 octobre 2024;4.0;2.0;85.0;;
F16/2579 /  19 octobre 2024;5.0;2.0;104.0;74.0;5.048
F34/2066 /  19 octobre 2024;4.0;3.0;85.0;85.0;1.353
E45/0810 /  17 octobre 2024;6.0;3.0;162.0;664.0;3.636
F37/1307 /  17 octobre 2024;8.0;6.0;140.0;355.0;3.493
E88/1910 /  17 octobre 2024;7.0;6.0;235.0;1.16;4.468
F39/2605 /  17 octobre 2024;3.0;2.0;54.0;;3.315
F45/0341 /  17 octobre 2024;5.0;4.0;140.0;1.45;4.271
F05/0092 /  17 octobre 2024;3.0;2.0;73.0;;1.356
F07/0764 /  17 octobre 2024;;;;;
F52/0381 /  17 octobre 2024;1.0;;31.0;;4.677
F32/3413 /  17 octobre 2024;3.0;2.0;65.25;;5.747
F51/0682 /  17 octobre 2024;8.0;4.0;166.0;1.319;2.5
E79/1788 /  19 octobre 2024;7.0;5.0;166.57;1.617;2.852
A52/2203 /  18 octobre 2024;7.0;5.0;140.0;17.0;
F48/1232 /  12 octobre 2024;2.0;1.0;43.5;;4.069
F28/1431 /  18 octobre 2024;8.0;4.0;191.0;3.195;
F13/0562 /  17 octobre 2024;7.0;4.0;198.0;7.0;2.005
F34/2307 /  17 octobre 2024;;3.0;33.0;;
F21/2436 /  17 octobre 2024;6.0;4.0;170.0;2.2;3.818
F28/2911 /  17 octobre 2024;3.0;2.0;108.0;3.367;2.537
F49/0715 /  17 octobre 2024;2.0;1.0;47.0;;5.426
D45/0973 /  17 octobre 2024;6.0;3.0;;1.14;
F40/0322 /  17 octobre 2024;2.0;1.0;38.5;;11.688
F05/1683 /  17 octobre 2024;;;1.0;;87.0
F26/2629 /  17 octobre 2024;4.0;3.0;78.43;;7.459
F47/0160 /  17 octobre 2024;2.0;1.0;34.0;;7.029
F23/1764 /  17 octobre 2024;8.0;6.0;275.0;250.0;10.0
F53/1008 /  18 octobre 2024;20.0;10.0;800.0;3.5;1.375
F52/0181 /  17 octobre 2024;4.0;2.0;77.0;;3.961
F11/1108 /  17 octobre 2024;2.0;1.0;41.0;;3.5
F29/1855 /  19 octobre 2024;10.0;6.0;300.0;70.0;367.0
F34/2058 /  19 octobre 2024;2.0;1.0;49.28;;4.048
F41/1733 /  18 octobre 2024;2.0;1.0;31.29;;
F00/1529 /  18 octobre 2024;5.0;4.0;128.0;1.05;1.344
F35/3466 /  18 octobre 2024;3.0;2.0;65.0;;5.077
F53/1497 /  19 octobre 2024;3.0;2.0;64.0;;8.594
F52/3037 /  19 octobre 2024;3.0;2.0;75.0;;9.267
F49/3145 /  15 octobre 2024;6.0;5.0;145.0;492.0;2.414
F53/0876 /  17 octobre 2024;4.0;2.0;99.0;;2.677
E62/0955 /  17 octobre 2024;9.0;5.0;293.0;497.0;990.0
F03/1024 /  18 octobre 2024;2.0;1.0;50.0;;6.3
F02/1890 /  17 octobre 2024;4.0;2.0;89.0;;6.292
F43/0851 /  18 octobre 2024;5.0;4.0;157.0;1.318;2.229
F31/0775 /  17 octobre 2024;6.0;5.0;182.0;756.0;3.242
E83/1143 /  19 octobre 2024;4.0;2.0;69.0;;4.188
F47/3241 /  17 octobre 2024;7.0;6.0;200.0;3.2;2.363
F39/0190 /  17 octobre 2024;1.0;;21.0;;12.333
F51/2097 /  17 octobre 2024;3.0;2.0;84.0;450.0;
F38/2720 /  17 octobre 2024;3.0;2.0;44.0;;14.659
E71/0818 /  19 octobre 2024;2.0;1.0;44.0;;3.932
F35/2143 /  18 octobre 2024;;;20.0;;
F33/0759 /  17 octobre 2024;3.0;2.0;83.0;;7.59
F46/2226 /  17 octobre 2024;2.0;1.0;62.57;;5.738
E88/2449 /  17 octobre 2024;5.0;4.0;127.0;1.002;827.0
F37/2954 /  17 octobre 2024;4.0;3.0;80.0;;5.988
E74/0303 /  17 octobre 2024;3.0;2.0;67.0;;2.209
F49/1649 /  18 octobre 2024;5.0;3.0;126.0;;12.897
F22/1767 /  19 octobre 2024;8.0;4.0;363.0;560.0;4.793
F34/3251 /  18 octobre 2024;3.0;2.0;57.0;;
F39/0112 /  17 octobre 2024;7.0;6.0;186.0;582.0;
F51/1391 /  17 octobre 2024;4.0;2.0;79.8;;9.336
E91/0757 /  18 octobre 2024;4.0;3.0;104.0;;5.192
E12/0199 /  17 octobre 2024;;;3.05;;18.0
F52/1130 /  17 octobre 2024;4.0;3.0;80.0;;3.438
F39/1740 /  18 octobre 2024;2.0;1.0;46.0;;4.761
F32/1337 /  17 octobre 2024;6.0;3.0;105.0;502.0;2.657
F33/2227 /  17 octobre 2024;7.0;5.0;180.0;980.0;3.278
F35/3143 /  18 octobre 2024;5.0;3.0;104.5;;10.038
F36/2816 /  17 octobre 2024;3.0;2.0;70.0;600.0;3.214
F43/2045 /  17 octobre 2024;5.0;4.0;108.0;;4.306
F39/0273 /  18 octobre 2024;2.0;;22.0;;6.136
F20/0629 /  17 octobre 2024;4.0;3.0;77.0;;3.766
F06/0950 /  17 octobre 2024;4.0;2.0;100.0;;10.9
E60/1435 /  18 octobre 2024;6.0;4.0;105.0;300.0;3.381
F44/1862 /  19 octobre 2024;6.0;4.0;225.0;2.64;3.773
F51/1335 /  17 octobre 2024;1.0;;34.0;;11.618
F25/1365 /  17 octobre 2024;2.0;1.0;49.54;;
F34/2135 /  19 octobre 2024;7.0;4.0;170.0;1.0;2.471
F47/1327 /  18 octobre 2024;3.0;2.0;49.0;;3.122
F12/1732 /  17 octobre 2024;3.0;2.0;41.16;;9.694
E49/0561 /  17 octobre 2024;11.0;6.0;320.0;6.0;5.0
F01/1026 /  17 octobre 2024;3.0;2.0;44.0;;10.114
F44/1123 /  17 octobre 2024;5.0;4.0;109.0;;3.991
F48/2856 /  16 octobre 2024;2.0;1.0;39.3;;8.524
F25/0502 /  19 octobre 2024;6.0;4.0;93.0;1.4;
F47/3145 /  17 octobre 2024;6.0;4.0;232.0;10.0;5.819
F39/1194 /  18 octobre 2024;7.0;;200.0;561.0;1.945
F48/2994 /  18 octobre 2024;6.0;3.0;167.0;480.0;9.275
F29/1091 /  17 octobre 2024;3.0;2.0;43.0;;5.114
F50/0361 /  17 octobre 2024;4.0;3.0;78.0;;5.756
F31/0213 /  17 octobre 2024;6.0;2.0;120.0;55.0;1.125
F51/2979 /  17 octobre 2024;3.0;2.0;58.0;;
F25/1281 /  19 octobre 2024;7.0;4.0;170.0;1.9;2.647
F21/1043 /  17 octobre 2024;4.0;2.0;75.0;432.0;5.8
F47/1448 /  17 octobre 2024;2.0;1.0;47.0;;
F23/0953 /  17 octobre 2024;2.0;1.0;56.0;;
F32/2052 /  19 octobre 2024;4.0;3.0;115.0;1.5;2.861
D41/0943 /  18 octobre 2024;2.0;1.0;45.0;;12.889
F01/0141 /  17 octobre 2024;2.0;1.0;46.0;;9.348
F33/1935 /  18 octobre 2024;2.0;1.0;40.0;;4.75
F48/0070 /  17 octobre 2024;6.0;3.0;121.0;;4.917
E85/0320 /  18 octobre 2024;7.0;4.0;166.0;600.0;2.184
F46/2201 /  19 octobre 2024;6.0;4.0;171.0;619.0;2.573
F38/2979 /  17 octobre 2024;6.0;4.0;200.0;800.0;
F20/1358 /  18 octobre 2024;5.0;3.0;150.0;1.8;5.3
E92/0218 /  19 octobre 2024;6.0;3.0;200.0;430.0;2.575
F38/2879 /  17 octobre 2024;3.0;2.0;76.0;;3.553
F40/2015 /  17 octobre 2024;5.0;4.0;115.0;;5.652
F26/2307 /  17 octobre 2024;3.0;2.0;64.0;;3.75
F23/0290 /  17 octobre 2024;7.0;5.0;140.0;305.0;2.179
F46/0051 /  17 octobre 2024;;;;;
F46/1951 /  17 octobre 2024;2.0;1.0;45.2;;9.513
E27/2039 /  18 octobre 2024;2.0;1.0;53.6;;2.799
F29/1422 /  18 octobre 2024;3.0;2.0;107.0;899.0;1.243
F36/0367 /  19 octobre 2024;6.0;5.0;181.0;739.0;2.757
F42/1887 /  17 octobre 2024;;;427.0;;
F46/2518 /  17 octobre 2024;5.0;4.0;122.0;224.0;4.385
E30/0220 /  17 octobre 2024;;;155.0;;
F14/0583 /  18 octobre 2024;;;;;
F53/1434 /  19 octobre 2024;5.0;4.0;135.0;600.0;4.222
F47/0085 /  17 octobre 2024;3.0;2.0;56.0;;1.214
B65/0264 /  17 octobre 2024;5.0;4.0;128.0;;3.008
F29/1772 /  19 octobre 2024;2.0;1.0;51.0;;9.706
F08/1398 /  17 octobre 2024;2.0;1.0;49.0;;7.857
F31/2560 /  17 octobre 2024;4.0;3.0;90.0;700.0;2.889
E59/1174 /  17 octobre 2024;2.0;1.0;35.0;;8.429
F50/2853 /  17 octobre 2024;3.0;2.0;64.0;;4.141
F45/2654 /  17 octobre 2024;3.0;2.0;51.0;;11.667
F46/0808 /  17 octobre 2024;4.0;3.0;81.0;150.0;4.074
F30/0073 /  17 octobre 2024;4.0;2.0;73.0;;5.466
F20/1172 /  17 octobre 2024;3.0;2.0;56.0;;5.321
F05/1368 /  18 octobre 2024;5.0;3.0;126.0;;
F51/0848 /  17 octobre 2024;5.0;4.0;160.0;1.68;4.5
F43/2180 /  18 octobre 2024;6.0;4.0;200.0;1.38;2.195
F07/1385 /  17 octobre 2024;7.0;4.0;190.0;600.0;1.395
F16/2393 /  17 octobre 2024;5.0;4.0;179.0;906.0;4.743
F35/2009 /  17 octobre 2024;8.0;5.0;180.0;684.0;3.606
E64/1700 /  18 octobre 2024;;2.0;60.0;;
C93/1503 /  17 octobre 2024;5.0;4.0;150.0;;9.333
E84/1745 /  17 octobre 2024;;;380.0;;661.0
F32/3174 /  17 octobre 2024;3.0;2.0;64.0;;6.859
F49/2843 /  17 octobre 2024;6.0;4.0;160.0;483.0;2.469
F28/1016 /  17 octobre 2024;;3.0;40.0;;
F40/2197 /  18 octobre 2024;;;100.0;;
F53/1715 /  19 octobre 2024;2.0;1.0;51.0;;
E71/1979 /  18 octobre 2024;6.0;3.0;168.0;278.0;1.786
F17/0698 /  18 octobre 2024;2.0;1.0;46.0;;4.128
F46/0082 /  17 octobre 2024;2.0;1.0;35.0;55.0;3.457
F46/1001 /  18 octobre 2024;7.0;3.0;190.0;3.5;2.237
E89/1199 /  18 octobre 2024;7.0;5.0;286.0;630.0;3.112
F52/1137 /  17 octobre 2024;6.0;5.0;303.0;4.5;1.251
F14/0620 /  17 octobre 2024;3.0;2.0;62.0;;4.806
F23/1335 /  17 octobre 2024;3.0;2.0;48.0;;4.373
F48/1492 /  19 octobre 2024;4.0;3.0;80.3;;4.072
F50/2525 /  17 octobre 2024;7.0;4.0;140.0;1.27;5.679
F50/1351 /  17 octobre 2024;4.0;2.0;114.0;370.0;2.184
F37/0160 /  17 octobre 2024;5.0;4.0;137.0;880.0;9.343
F50/2020 /  17 octobre 2024;3.0;3.0;50.0;;12.3
E87/2739 /  18 octobre 2024;;;1.224;;27.0
F45/0527 /  17 octobre 2024;;4.0;156.0;;
F13/2522 /  17 octobre 2024;6.0;4.0;158.0;1.2;3.133
F43/0021 /  17 octobre 2024;1.0;1.0;10.0;;
E25/2148 /  19 octobre 2024;9.0;5.0;200.0;1.0;1.35
F52/2982 /  17 octobre 2024;3.0;2.0;90.0;;20.544
F48/0979 /  12 octobre 2024;4.0;3.0;134.0;610.0;3.134
F28/2907 /  17 octobre 2024;9.0;5.0;200.0;19.5;
F48/2878 /  16 octobre 2024;;;42.0;;
F51/1437 /  17 octobre 2024;4.0;3.0;125.0;;6.0
F44/1048 /  16 octobre 2024;11.0;6.0;500.0;58.9;1.46
F15/0163 /  17 octobre 2024;4.0;2.0;93.0;;4.14
F32/0931 /  17 octobre 2024;3.0;2.0;100.0;;5.49
E83/1820 /  17 octobre 2024;6.0;4.0;115.0;540.0;2.296
F23/0157 /  17 octobre 2024;8.0;4.0;220.0;1.072;4.455
F24/1689 /  17 octobre 2024;7.0;4.0;167.0;650.0;2.988
F36/1113 /  17 octobre 2024;;;;;
F41/1695 /  17 octobre 2024;3.0;2.0;67.0;;4.597
F16/0880 /  18 octobre 2024;4.0;3.0;88.0;;
F42/0573 /  17 octobre 2024;2.0;1.0;45.0;;
F40/1438 /  17 octobre 2024;3.0;2.0;63.0;;6.222
F36/0656 /  18 octobre 2024;2.0;1.0;58.79;;4.763
F36/2786 /  17 octobre 2024;1.0;;30.0;;6.333
F51/1086 /  17 octobre 2024;4.0;3.0;109.0;464.0;
E87/0948 /  17 octobre 2024;;;;;
F52/1584 /  19 octobre 2024;4.0;3.0;96.0;;3.438
E38/0350 /  19 octobre 2024;12.0;6.0;325.0;942.0;
F42/1954 /  17 octobre 2024;1.0;1.0;10.0;;
F03/1765 /  19 octobre 2024;3.0;2.0;68.0;;2.868
F50/0770 /  17 octobre 2024;1.0;;20.0;;
F35/1036 /  18 octobre 2024;4.0;3.0;77.0;;3.312
E35/0608 /  17 octobre 2024;7.0;5.0;230.0;1.89;3.261
F48/0052 /  17 octobre 2024;1.0;;13.0;;
F00/1472 /  18 octobre 2024;3.0;2.0;63.0;;8.651
F36/2090 /  19 octobre 2024;6.0;4.0;170.0;1.92;3.824
F52/2685 /  14 octobre 2024;6.0;5.0;190.0;1.96;2.605
F48/0663 /  11 octobre 2024;;;28.0;;
E96/3154 /  17 octobre 2024;4.0;2.0;95.0;1.062;547.0
F50/2839 /  17 octobre 2024;14.0;10.0;515.0;1.0;5.825
F32/0594 /  17 octobre 2024;7.0;6.0;154.0;475.0;3.182
E46/1607 /  18 octobre 2024;4.0;3.0;112.0;180.0;
F43/1181 /  19 octobre 2024;2.0;1.0;40.0;;5.0
F34/0440 /  17 octobre 2024;2.0;1.0;30.0;;6.0
F26/0176 /  17 octobre 2024;5.0;3.0;153.0;;
F49/0005 /  17 octobre 2024;;;70.0;;
F28/2938 /  17 octobre 2024;6.0;5.0;120.0;1.285;3.583
F50/2707 /  17 octobre 2024;5.0;3.0;336.0;1.161;1.711
F50/0213 /  17 octobre 2024;3.0;2.0;97.0;;7.938
F42/2053 /  17 octobre 2024;4.0;3.0;142.0;1.291;3.239
F37/0549 /  19 octobre 2024;5.0;4.0;95.0;;5.258
E21/0346 /  12 octobre 2024;;;;;
F36/1619 /  19 octobre 2024;2.0;1.0;38.0;;7.632
E88/1224 /  17 octobre 2024;2.0;1.0;48.52;;1.628
F43/1061 /  19 octobre 2024;;3.0;34.0;;
F46/1587 /  18 octobre 2024;2.0;1.0;42.0;;4.167
F37/2867 /  17 octobre 2024;4.0;3.0;170.0;1.2;1.853
F52/2921 /  19 octobre 2024;2.0;1.0;50.0;;8.8
F27/2060 /  18 octobre 2024;6.0;5.0;143.0;1.0;4.545
F53/1482 /  19 octobre 2024;2.0;1.0;34.0;;2.765
F16/1600 /  17 octobre 2024;4.0;3.0;75.0;;3.573
E79/2602 /  17 octobre 2024;2.0;1.0;43.0;;6.977
F45/0236 /  17 octobre 2024;6.0;5.0;135.0;400.0;3.963
F50/2717 /  17 octobre 2024;6.0;5.0;158.0;1.232;5.443
F40/0670 /  17 octobre 2024;4.0;2.0;106.0;;2.943
F47/0413 /  17 octobre 2024;8.0;6.0;283.0;;2.622
F36/1306 /  17 octobre 2024;5.0;3.0;90.0;136.0;6.333
F37/2761 /  17 octobre 2024;4.0;3.0;140.0;452.0;2.214
F45/1869 /  19 octobre 2024;;;125.0;;
F25/0104 /  19 octobre 2024;4.0;3.0;90.0;620.0;6.444
F38/1986 /  17 octobre 2024;5.0;4.0;160.0;2.5;3.969
F47/1268 /  15 octobre 2024;;;1.62;;46.0
F37/0358 /  17 octobre 2024;;;;;
F16/0096 /  17 octobre 2024;5.0;3.0;140.0;30.0;1.979
F35/1557 /  18 octobre 2024;3.0;2.0;61.0;;
F32/3314 /  17 octobre 2024;6.0;4.0;211.0;40.0;2.109
F24/1114 /  17 octobre 2024;;;715.0;;111.0
F41/1056 /  19 octobre 2024;3.0;1.0;59.0;;3.814
F05/1252 /  17 octobre 2024;2.0;1.0;30.0;;5.167
E94/0868 /  17 octobre 2024;4.0;3.0;75.0;;4.132
E83/0950 /  18 octobre 2024;4.0;3.0;90.0;;4.433
E08/1994 /  17 octobre 2024;5.0;4.0;133.0;;8.609
F32/2215 /  19 octobre 2024;4.0;2.0;64.0;;2.344
F45/2702 /  17 octobre 2024;4.0;2.0;81.0;;
F36/0310 /  17 octobre 2024;5.0;4.0;127.0;150.0;6.606
A05/1352 /  17 octobre 2024;9.0;7.0;300.0;1.2;9.0
F50/0235 /  17 octobre 2024;;2.0;35.0;;
F21/2635 /  17 octobre 2024;2.0;1.0;23.0;;3.435
F21/2079 /  17 octobre 2024;1.0;;16.0;;
F01/0517 /  14 octobre 2024;3.0;2.0;64.0;;3.203
F36/1443 /  17 octobre 2024;4.0;3.0;80.0;;3.738
F01/2675 /  17 octobre 2024;2.0;1.0;47.0;;
F40/1329 /  18 octobre 2024;7.0;4.0;164.0;398.0;7.561
F50/0996 /  17 octobre 2024;1.0;;18.0;;6.944
F35/0881 /  17 octobre 2024;2.0;1.0;39.0;;4.487
F43/0266 /  17 octobre 2024;5.0;3.0;100.0;335.0;6.1
F23/2719 /  17 octobre 2024;5.0;4.0;120.0;213.0;4.292
F45/1938 /  17 octobre 2024;6.0;5.0;254.0;2.87;2.402
