reference;postal_code;date;price;latitude;longitude;type;energy_class;description_text;url;transport_station_name
F22/0847 /  17 octobre 2024;6000.0;17/10/2024;175000.0;43.700587;7.264542;studio;C;"Studio rénové en dernier étage avec ascenseur à 50m du Bd Victor Hugo.

Au sein d'un magnifique immeuble bourgeois avec ascenseur, dotée de très belles parties communes en marbre de Marfil crema.

Un séjour lumineux composé d'une cuisine américaine équipée et aménagée.

Une douche à l'italienne avec wc Geberit.

Une climatisation gainable réversible Daikin.

Idéal résidence principale ou investissement locatif.
       Pas d'agences!";https://www.pap.fr/annonces/appartement-nice-06000-r452200847;
F00/1504 /  18 octobre 2024;44120.0;18/10/2024;365000.0;47.181375;-1.512726;appartement;C;"Bel appartement aux beaux volumes avec une agréable terrasse et vue sur un parc

En bordure de Sèvre avec vue imprenable sur la Sèvre Nantaise. À environ 7 kms du centre-ville de Nantes.
Idéalement situé seulement à 3,8km du centre de Vertou.
A quelques minutes de  tous les commerces et transport nécessaires , médecin, dentiste, pharmacie, infirmier, tabac, poste, coiffeur.boucher, boulanger.

Situé au 2e étage et dernier étage avec ascenseur d'un immeuble de 2004.
Rénové en 2019 pour le transformer en 2 pièces cet appartement d'une superficie de 72 m², comprend :

Une entrée indépendante avec placards dessert d'une part un séjour/salle à manger spacieux et lumineux exposé Sud avec accès à un balcon de 5 m² et une grande terrasse de 15 m² avec vue dégagée et arborée, une cuisine américaine, aménagée et équipée. le couloir dessert d'autre part, un wc séparé, une grande suite parentale de 22 m² avec une douche à l'italienne et un dressing.

Une cave de 2.3 m² et un parking de 11 m² complètent ce bien.
Double vitrage, chauffage électrique.

Charges de copropriété : 1264 €
Taxe foncière : 1130 €  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché.";https://www.pap.fr/annonces/appartement-vertou-44120-r450001504;
F27/0110 /  17 octobre 2024;94100.0;17/10/2024;499000.0;48.799249;2.478304;maison;C;"Pavillon 4 pièces (3 chambres avec chacune sa salle de bains + Séjour avec Cuisine US) À Saint-Maur-des-Fossés centre (94100), Adamville (zone pavillonnaire, calme, sure, commerces, transports, écoles) : 80m2 de surface Carrez + 72,2 m2 de jardin privatif. Entièrement rénové. Soit 150m2 environ de surface au sol.
Maison impeccable avec rénovation approfondie et de qualité (plomberie, électricité, peinture, sols : parquet, plafonds et poutres apparentes, cuisine installée et équipée, 3 salles de bains, murs et plafonds isolés, toiture avec isolation thermique, jardin planté et décoré). Portail neuf. Grande pelouse (gazon). Arbres, arbustes et fleurs. En retrait par rapport à la rue (calme, silence, intimité, pas de vis-à-vis). Ensoleillé. Clair. Très faibles charges. DPE : C

•	3 Chambres-suites, chacune avec sa salle de bains communicante (2 douches à l'Italienne et 1 salle de bains avec baignoire). Dans chaque salle de bains : WC, lavabo, meuble miroir éclairé, carrelage neuf, ballon d'eau chaude, isolation.
•	Grand salon (grande hauteur sous plafond), avec cuisine américaine équipée (tous électroménagers : plaques, four, hotte, frigo, congélateur, lave-vaisselle, lavabo, robinet, meubles hauts et bas), plus une buanderie avec lave-linge et sèche-linge. Parquet au sol. Beau carrelage noir (grands carreaux 60x60) dans les zones de passage ou salissantes.

Commerces et marchés à proximité. Écoles de grande qualité et proches. Transports (RER A, TVM, Bus Autoroute A4 …).
Possibilité de travaux d'aménagement gratuits (plantations, dressings, cabanon, étagères, décoration, mobilier de jardin, et même, en option gratuite, un sauna).
Prix : 499.000 E pour environ 150m2 de surface au sol (environ 75m2 de jardin).
DPE : C. **Merci d'indiquer votre numéro de téléphone.

Pas de SMS SVP.  De préférence mail ou téléphone.";https://www.pap.fr/annonces/maison-saint-maur-des-fosses-r452700110;Le Parc de Saint-Maur//Saint-Maur - Créteil//Créteil - L'Échat (Hôpital Henri Mondor)
F49/3133 /  17 octobre 2024;63400.0;17/10/2024;190000.0;45.780968;3.05097;appartement;;"Appartement 3 pièces d'une surface de 65m2 au second étage avec ascenseur terrasse et jardin privatif  au sein d'une résidence avec piscine,

il comporte :

Une entrée avec placard de rangement, un séjour  orienté ouest donnant sur une terrasse extérieure avec store électrique et vue dégagée.

Cuisine indépendante aménagée et équipée avec accès terrasse, un couloir avec rangement dessert la partie nuit composée de  2 chambres avec rangement donnant sur le rez-de-jardin arboré.
Une salle d'eau avec lavabo, wc indépendants avec lave-mains.

La piscine est réservée aux résidents.
Un garage ainsi qu'une cave complètent ce bien.
L'arrêt du bus de la ligne 13 est situé au pied de la résidence.
Lycée et collège a proximité.

Double vitrage, interphone.
Chauffage : électrique
Charges de copropriété : 1400€/an
Taxe foncière : 1348€/an.

Dpe en cours.";https://www.pap.fr/annonces/appartement-chamalieres-r454903133;
F32/3137 /  17 octobre 2024;34610.0;17/10/2024;279000.0;43.610578;2.97325;maison;D;"Très belle demeure au cœur d'un cadre naturel exceptionnel.
Bien que proche de la station thermale et climatique de Lamalou les Bains, cette propriété, située dans un environnement unique et préservé offre un cadre de vie incomparable.
L'aspect traditionnel cévenol de l'extérieur contraste avec l'intérieur de la maison, qui saura vous séduire par son ambiance chaleureuse et apaisante. L'intérieur de la maison a été pensé pour offrir un cadre de vie fonctionnel et harmonieux. Les matériaux nobles utilisés ajoutent une touche de raffinement à chaque pièce. Profitez également d'une terrasse ensoleillée pour des moments de détente en famille ou entre amis. Ne manquez pas l'opportunité de devenir propriétaire de ce coin de paradis, où le charme de la nature se mêle au confort d'une demeure au charme fou. Une visite s'impose pour apprécier pleinement ce bien. Maison d'une superficie de 135m2 avec extérieur, elle comporte : Au rez-de-chaussée: Une entrée, un séjour orienté Est/Sud avec insert donnant sur le séjour et la salle à manger, une cuisine ouverte aménagée et équipée donnant sur une terrasse extérieure, un espace buanderie.
A l'étage : 2 chambres avec rangement, une 3ème chambre avec un espace bureau/dressing et sa salle de bains privative avec  wc et lave-mains, une salle d'eau avec wc et lave-mains. Une grande cave complète ce bien, ainsi qu'une dépendance comprenant les éléments de fonctionnement de la pompe à chaleur, ainsi qu'un espace de stockage de bois.
Aucuns travaux à prévoir.
Double vitrage.
Chauffage: pompe à chaleur
Taxe foncière: 816€/an 2.067 € le m²
Un autre bâtiment plus petit proche de la maison est en vente également ; n'hésitez pas à me contacter pour avoir des précisions.  J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.";https://www.pap.fr/annonces/maison-rosis-r453203137;
F38/0248 /  17 octobre 2024;80460.0;17/10/2024;600000.0;50.113886;1.497708;maison;D;"Woignarue. Ensemble de 2 maisons plain-pied de 74 m² et 114 m² lumineuses, exposée plein Sud et une annexe de 36 m² exposée Ouest.

- La maison 3 pièces de 74 m², comprenant :
Un salon, un bureau, une cuisine équipée, une chambre, une salle d'eau, wc à part, une véranda.
DPE en E + GES en B.

- La maison 4 pièces de 114 m², comprenant :
Un salon, une cuisine équipée, 2 chambres, un dressing, une salle d'eau, 2 wc à part, un cellier, un bureau pouvant être une chambre supplémentaire, une véranda.
DPE en D + GES en B.

- Une annexe 2 pièces de 36 m², comprenant :
Un salon, une kitchenette, une chambre, une salle d'eau, wc à part, une véranda.

Un garage pouvant accueillir 3 véhicules avec : un grenier + une pièce isolée pouvant servir d'atelier.
Un parking pouvant recevoir un camping car.
Tout à l'égout
2 lignes de fibre installées.

A 2 km de la mer.
A 10 km d'Eu, Le Tréport.
A 15 km de La Baie de Somme.";https://www.pap.fr/annonces/maison-woignarue-r453800248;
E80/1307 /  17 octobre 2024;92210.0;17/10/2024;349000.0;48.846383;2.214956;appartement;G;"Appartement composé d'une entrée avec placards sous-plafond,
d'un séjour lumineux avec baie vitrée, d'une chambre, d'une cuisine, d'une salle de bains avec wc.

Etage élevé, entièrement remis à neuf en 2000 : Parquets en chêne massif.
Une partie de l'appartement étant au dernier étage, une isolation a été ajoutée pour une protection contre la chaleur et le froid.

Excellente situation : à 2 min à pied de la gare de Saint Cloud et moins de 5 min des commerces alimentaires: 4 supermarchés, 2 magasins Bio. A proximité des établissements publics : jardin d'enfants, écoles, lycée, hôpitaux, cabinets médicaux.
Proche des arrêts de Bus (160, 360, 171), Tramway T2 (à 10min). La ligne 15 du métro  est actuellement en cours de construction.

Calme, donnant sur cour/jardin, aucun bruit de rue.
Le double vitrage des fenêtres offre une excellente isolation sonore et thermique.
Vue panoramique depuis la baie vitrée du séjour en direction du Parc de Saint-Cloud, vers la Seine, les collines de Meudon, Boulogne-Billancourt, Sèvres, etc...
Du balcon, nous pouvons apprécier les feux d'artifice aux jours de fêtes.

La notation actuelle ''G'' du DPE (Diagnostic de Performance Energétique) a pour cause principale le peu de performance de la chaudière du bâtiment. Le prix du changement de la chaudière est estimé à 300.000 € et la part pour cet appartement serait 4.110 euros.
Après le changement de la chaudière, qui sera proposé au vote lors de la prochaine assemblée générale, la notation DPE devrait remonter vers le classement ''D''; Dès lors, le nouveau propriétaire pourra juger si des travaux d'isolation intérieurs supplémentaires sont nécessaires ou pas, à noter que 2 devis ont déjà été réalisés.

Avec cave.

Taxes foncières 2023 :   816 €
Charges mensuelles 2023 :   302 €. Un message par mail sera  bienvenu. Logement à consommation énergétique excessive : classe G";https://www.pap.fr/annonces/appartement-saint-cloud-92210-r448001307;Saint-Cloud//Les Milons//Parc de Saint-Cloud
F29/1805 /  19 octobre 2024;84130.0;19/10/2024;348000.0;43.962896;4.880696;maison;C;"Située proche des commerces, écoles et transports (bus).

En impasse, au calme, maison d'une superficie de 137m2 avec un terrain de 480m2 clos et arboré, elle comprend :

- Au rez-de-chaussée :

Un hall d'entrée avec placard, un séjour/salle à manger lumineux orienté sud avec cheminée donnant sur une terrasse avec piscine, une cuisine indépendante aménagée et équipée, un bureau, wc séparés avec lave-mains.

- A l'étage :

Un couloir desservant 4 chambres dont 3 avec rangement, une salle de bains avec lave-mains (bidet et sèche-serviettes), une salle d'eau avec lave-mains et sèche-serviettes, wc séparés.

Double vitrage, panneaux solaires, volets roulants programmables.
Chauffage : chaudière à condensation.
Forage.
Isolation extérieure.
Taxe foncière : 1993€/an";https://www.pap.fr/annonces/maison-le-pontet-84130-r452901805;
F36/0587 /  17 octobre 2024;78170.0;17/10/2024;1150000.0;48.838544;2.138307;maison;D;"Située proche de toutes les commodités (commerces, écoles) et de la départementale 307.

Maison sur 2 niveaux 6 pièces d'une superficie de 190m2 avec un terrain de 640m2 clos et arboré, elle comporte:

Au rez-de-chaussée:

Une entrée avec rangement, un séjour/salle à manger carrelé et lumineux orienté sud-ouest, une vaste cuisine indépendante aménagée et équipée donnant sur le jardin, 2 chambres, wc séparés avec lave-mains.

A l'étage:

Un couloir desservant 3 chambres dont 2 avec dressing, une salle d'eau avec lave-mains et sèche-serviettes, un espace buanderie/rangement, wc suspendus séparés.

Un sous-sol de 80m2 avec 1 salle de cinéma complète ce bien.

Double vitrage.
Chauffage: fuel.
Taxe foncière: 2000€/an.";https://www.pap.fr/annonces/maison-la-celle-saint-cloud-78170-r453600587;La Celle-Saint-Cloud//Vaucresson//Bougival
E78/3598 /  17 octobre 2024;64210.0;17/10/2024;1140000.0;43.423503;-1.600238;maison;D;"Maison de plain pied, idéalement située à 5min à pied des plages.

Agréable maison familiale de plain pied d'une surface de 150m2, sur un terrain de 1.000m2, avec sa piscine de 11m x 5.

Elle se compose d'un salon/séjour et d'une cuisine ouverte, d'un espace de vie de plus de 50m2, donnant sur la terrasse d'environ 40m2.

4 chambres dont 2 avec salle d'eau, un bureau, une salle de bain, 2 WC, un garage, une buanderie.

Un grand parking extérieur pouvant recevoir 4 voitures.

La maison est climatisée et protégée par un système d'alarme.

Idéalement située dans un quartier calme et boisé.

À 5min à pied des plages, des commerces (boulangerie, épicerie, pharmacie, médecin, arrêts de bus, restaurants...)

Situation privilégiée aux accès : autoroute, gare TGV, aéroport, en moins de 15min en voiture.

1er contact par messagerie uniquement.

Agence s'abstenir.";https://www.pap.fr/annonces/maison-bidart-64210-r447803598;
F50/2441 /  17 octobre 2024;97300.0;17/10/2024;330000.0;4.913292;-52.317989;maison;;"Maison rénovée avec piscine à acquérir.
Maison restaurée en 2016 sur un terrain de 532 m2 arboré (citronnier, cerisier, mandarinier) dans un lotissement calme située à proximité des grands axes : (Char, Hyper U, Clinique St Paul à 5min) (Family Plaza, Centre ville, Carrefour à 10 min) école maternelle à 2mn.

La maison d'une superficie de 70 m2 se compose de :
1 Cuisine américaine équipée avec son îlot central
3 Chambres climatisée avec leur dressing intégré
1 Séjour
1 Salle de bains
1 Wc.
A l'extérieur :
1 Terrasse couverte de 45 m2
1 Piscine enterrée au sel
1 Terrasse pergola
1 Abri de jardin
1 chauffe eau solaire
1 portail électrique.

Dpe en cours.";https://www.pap.fr/annonces/maison-cayenne-97300-r455002441;
F32/3172 /  17 octobre 2024;77090.0;17/10/2024;360000.0;48.835381;2.682217;maison;C;"Agréable maison contemporaine de 2010 construite au sein d'un écoquartier situé à la frontière en entre Torcy et Bussy St Georges. Ce bien de 83m² est agencé au rez-de-chaussée d'une entrée, d'un wc et d'un bel espace à vivre lumineux de 33m² composé d'un séjour avec son charmant poêle à bois et sa baie vitrée donnant sur le jardin (exposé sud) et d'une cuisine américaine entièrement équipée (électroménager de standing) donnant également sur un extérieur clos.

À l'étage vous trouverez une entrée équipée de grands placards de rangements distribuant sur 3 chambres de respectivement 11m² et 10m² et sur salle de bains neuve avec wc entièrement refaite en août 2023.  Un garage fermé de 17 m2 complète le bien.

La maison est à proximité des écoles, des bus 2228 et le 2290 qui desservent la gare RER A de Torcy. À 5mn de l'autoroute A4, du centre commercial de Bay 2 et Bay 1 et à 15min de Val d'Europe. Merci de privilégier l'adresse mail pour un rendez vous.";https://www.pap.fr/annonces/maison-collegien-r453203172;Torcy//Bussy-Saint-Georges//Lognes
F05/2472 /  17 octobre 2024;84000.0;17/10/2024;190000.0;43.949807;4.810175;appartement;C;"Au cœur du centre historique de la Banasterie, à 2 pas des Halles, des théâtres, cinémas et restaurants, dans un immeuble ancien bien entretenu de 3 copropriétaires occupants, cet appartement au cachet ancien rénové avec soin, autour d'une jolie cour intérieure comprend une cuisine salle à manger de 15m2 avec insert, 2 pièces de 15 et 16m2 à agencer en chambre ou salon, une chambre de 12m2 avec douche à l'italienne et un wc séparés donnant sur une grande buanderie de 4m2. Appartement avec climatisation réversible.
Vous apprécierez ses nombreux placards, sa fraîcheur au cœur de l'été et son calme toute l'année. Il n'a qu'un seul défaut, rez-de-chaussée oblige, pas de vue sur le Palais des Papes !

Charges annuelles prévisionnelles : 567€
Taxe foncière : 1 146 € (2022).  J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.";https://www.pap.fr/annonces/appartement-avignon-84000-r450502472;
F12/0151 /  17 octobre 2024;75002.0;17/10/2024;476000.0;48.868829;2.345785;studio;F;"Coup de cœur.

Au 3ᵉ  étage (sur 4) d’un bel immeuble du XVIIIe siècle avec cour arborée et gardienne, grand studio en duplex exposé Sud de 44m² (34m² loi Carrez) en bon état.

Il est composé d’une entrée donnant sur un séjour avec de nombreux rangements et d’une cuisine ouverte et équipée. Il dispose d'une belle hauteur sous plafond de 3.50 m.

La mezzanine est composée d’une partie nuit et d'une salle de bains avec toilettes.

Une cave complète ce bien.

Proche de toutes commodités : transports (Bus, Métro 3 Sentier, Métro 8 et 9 Bonne Nouvelle), commerces quartier Montorgueil.

Chauffage électrique.

Visite virtuelle en fin de diaporama.

Taxe foncière 2023 : 822€
Charges de copropriété : 1100€/an environ.  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché. Logement à consommation énergétique excessive : classe F";https://www.pap.fr/annonces/appartement-paris-2e-75002-r451200151;Sentier//Bonne Nouvelle//Bourse
F33/1610 /  17 octobre 2024;75011.0;17/10/2024;290000.0;48.851685;2.3807;fonds;;"Bar insonorisé situé entre Bastille et Nation, étude d'impact ok (94db), style urbain avec sol en bitume et façade en inox, faible loyer (1750 E charges comprises).
Chiffre d'affaire  hors taxes 2023 : 350 000 E.
Bail neuf.
Ouvert depuis 18 ans  en vente pour changement de vie professionnelle.";https://www.pap.fr/annonces/fonds-de-commerce-paris-11e-75011-r453301610;Faidherbe - Chaligny//Ledru-Rollin//Charonne
F24/1567 /  19 octobre 2024;31000.0;19/10/2024;549000.0;43.610185;1.470734;maison;C;"Maison de 178 m², lumineuse et rénovée récemment. Parcelle de 640 m² arborée. Possibilité de construire 100 m² sur la parcelle. Située entre le boulevard Chirac et l'avenue Angla dans une rue calme et résidentielle.  A moins de 5min de toutes commodités : commerces, lycée, bus. Et proche du centre ville de Toulouse (10 min à vélo).

Au rez-de-chaussée : un séjour/salle à manger de 43m² donnant sur une terrasse et un joli jardin végétalisé, une cuisine équipée ouverte sur la salle à manger et une suite parentale.

A l'étage : quatre chambres lumineuses, un bureau/bibliothèque, une salle de bains et un second toilette.";https://www.pap.fr/annonces/maison-toulouse-31000-r452401567;
F46/1663 /  18 octobre 2024;95210.0;18/10/2024;337000.0;48.964782;2.284167;appartement;D;"Situé dans le quartier Saint-Gratien et proche de toutes les commodités.
A 100m du RER C.

Appartement 4 pièces d'une superficie de 84m2 au 4ème et dernier étage avec ascenseur et balcons, il comporte :

Une entrée avec rangement, un vaste séjour de 37m2 lumineux avec parquet orienté sud-ouest donnant sur 2 balcons extérieurs avec vue dégagée, une cuisine indépendante ouverte aménagée et équipée, un couloir dessert 2 chambres dont 1 avec dressing, une salle de bains avec meuble double vasque, wc séparés avec lave-mains.

Possibilité de faire une troisième chambre.
Un box de 16,95m² ainsi qu'une cave complètent ce bien.

Double vitrage, interphone.
Chauffage : gaz
Charges de copropriété : 2640€/an
Taxe foncière : 2395€/an";https://www.pap.fr/annonces/appartement-saint-gratien-95210-r454601663;Saint-Gratien//Sannois//Epinay-sur-Seine
F38/0277 /  17 octobre 2024;17480.0;17/10/2024;136000.0;45.892609;-1.221737;terrain;;"Terrain à bâtir viabilisé sud Ile d'Oléron, lieu-dit La Gaconnière, commune du Château d'Oléron 17480 (entre  le Château d'Oléron et Dolus), 327 m2 (dont 25 m2 de servitude de passage), branchements eau, tout-à-l'égoût et électricité réalisés , clos de murs en partie, COS 0.60.

Idéalement situé (à 3 mn du centre-ville et de ses commerces, à 4 mn de la plage de Vertbois, à 4 mn du pont d'Oléron, à 2 mn de la grande surface, départ pistes cyclables dans le village directions Le Château/Vertbois/La Cotinière/Grand Village), endroit calme, ensoleillement total, orientation sud-est/ouest, entrée/sortie voirie privative large, aménagée et sécurisée, éclairage communal sur l'accès.

Références cadastrales BD 1313 et 1314. Zone UB.
Etudes de sol GR1 (zone argileuse) et pollution (néant) effectuées.
Possibilité de présenter un plan de construction 3 chambres/séjour/garage avec chiffrage.

Conditions suspensives : pas de fenêtres en limites séparatives, maison de plain-pied exclusivement.";https://www.pap.fr/annonces/terrain-le-chateau-d-oleron-17480-r453800277;
F50/2671 /  17 octobre 2024;92260.0;17/10/2024;1470000.0;48.784516;2.284111;maison;;"Idéalement située proche de toutes les commodités (commerces, hôpital, école maternelle et bus).
A 5 minutes en voiture du RER B Fontenay-aux-Roses .

Charmante maison 8 pièces sur 3 niveaux d'une superficie totale de 229m2, elle comporte :

Au sous-sol :

Une chambre, une salle de sport/chambre, un sauna, une salle d'eau avec wc lave-mains et sèche-serviettes, une pièce avec placards de rangement pouvant servir de buanderie, un local technique.

Au rez-de-chaussée :

Une entrée, un vaste séjour carrelé orienté nord avec cheminée donnant sur une terrasse extérieure sans vis-à-vis, une salle à manger, une cuisine indépendante aménagée et équipée, wc séparés avec lave-mains.

A l'étage :

Un couloir dessert 1 suite parentale avec dressing cheminée et sa salle d'eau privative avec velux meuble double vasque baignoire wc et sèche-serviettes menant à un balcon extérieur, une chambre, une seconde chambre avec rangement et accès à un balcon extérieur, celles-ci se partagent une salle de bains avec lavabo et sèche-serviettes, wc séparés avec lave-mains.

Un garage complète ce bien.

Double vitrage, interphone.";https://www.pap.fr/annonces/maison-fontenay-aux-roses-92260-r455002671;Robinson//Fontenay-aux-Roses//Sceaux
F33/1675 /  19 octobre 2024;78220.0;19/10/2024;760000.0;48.807443;2.165536;maison;D;"Forêt domaniale de Fausses-Reposes à 2min. Au calme. Très proche de tous les commerces et des commodités. Gare SNCF de Viroflay Rive-Droite à 5min à pied.

**Charmante maison de ville, d'une surface de 100 m² habitable, elle est édifiée sur une parcelle de 290 m² avec 2 jardin de 30 m2 chacun, le tout arboré et sans vis-à-vis

Elle se compose sur deux niveaux de :

Une entrée indépendante avec rangement + escalier menant au premier niveau

- Au premier niveau : le palier dessert une grande pièce de vie : séjour / salle à manger avec ouvertures sur terrasse / jardin, une cuisine équipée semi-ouverte (donnant accès au garage fermé), ainsi qu'un wc indépendant.

- Au second niveau : le palier dessert l'espace nuit avec trois chambres (dont une avec salle d'eau privative), rangements sur palier, salle de bains et wc indépendant.

Chauffage au gaz. Chaudière gaz. Double vitrage

Une cave complète ce bien.  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché.";https://www.pap.fr/annonces/maison-viroflay-r453301675;Viroflay-Rive-Droite//Viroflay-Rive-Gauche//Montreuil
F33/0356 /  17 octobre 2024;75019.0;17/10/2024;1030000.0;48.889752;2.383783;maison;C;"Paris 19ème, dans un cadre de vie agréable avec tous commerces, écoles et commodités à proximité.

Découvrez cette charmante maison de ville de 93 m², idéalement située avec une vue imprenable sur le canal. Profitez de son extérieur de 45 m² comprenant une terrasse et un jardin, parfait pour des moments de détente en plein air.

- Au rez-de-chaussée :
Entrée avec couloir
Séjour principal spacieux ouvrant sur la terrasse par deux portes-fenêtres
Cuisine équipée séparée avec ouverture bar
Salle d'eau avec douche, wc et branchement pour machine à laver

 - À l'étage :
Pièce palière desservant l'espace nuit
Deux chambres confortables
Espace dressing
Salle de bains avec wc

Belles prestations, habitable de suite.

Chauffage collectif. Double vitrage.

Deux places de parking privatives.

Charges de copropriété : 2700 € par an
Taxe foncière : 2231 € par an  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché. J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.";https://www.pap.fr/annonces/maison-paris-19e-75019-r453300356;Ourcq//Crimée//Corentin Cariou
F36/0533 /  19 octobre 2024;17480.0;19/10/2024;126000.0;45.892609;-1.221737;terrain;;"Terrain viabilisé d'exception Ile d'Oléron, lieu-dit La Gaconnière, commune du Château d'Oléron 17480 (entre le Château d'Oléron et Dolus), 273 m2 (dont 24 m2 de servitude de passage), branchements eau, tout-à-l'égoût, électricité réalisés, clos de murs en partie, COS 0.60.
A 3 mn du centre-ville et de ses commerces, à 4 mn de la plage de Vertbois, à 4 mn du pont d'Oléron, à 2 mn de la grande surface, départ pistes cyclables dans village directions Le Château/Vertbois/La Cotinière/Grand Village, endroit calme, ensoleillement total, orientation sud-est/ouest.
Entrée/sortie voirie privative large, aménagée et sécurisée, éclairage communal sur l'accès.
Références cadastrales BD 1311 et 1312. Zone UB.
Possibilité de présenter un plan de construction 3 chambres/séjour/garage avec chiffrage.
Conditions suspensives pour une future construction : pas de fenêtres en limites séparatives, maison de plain-pied exclusivement.
Etude de sol GR1 effectuée (zone argileuse).  J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.";https://www.pap.fr/annonces/terrain-le-chateau-d-oleron-17480-r453600533;
E69/1695 /  18 octobre 2024;94260.0;18/10/2024;330000.0;48.754546;2.321178;maison;E;"BIEN ATYPIQUE ! Maison de ville idéale pour famille ou investisseur pour colocation de 4 personnes.

En plein cœur de Fresnes, maison sur 3 niveaux dans une petite copropriété (anciennement atelier) se composant de:
  - Au rez de chaussée: d'un grand séjour/salle à manger + cuisine ouverte de 55 m² environ, 1 cellier, 1 wc indépendant. Le séjour dessert l'accès à une terrasse de 28 m² environ.
  - Au 1er étage: un espace de vie desservant l'accès à 3 chambres, 1 salle de bain, 1 wc séparé.
  - Au 2ème étage: une chambre avec une salle d'eau. La maison, bien que située dans l'hypercentre, est en retrait de la voie, dans un environnement très calme.

Chaudière individuelle au gaz à condensation pour eau chaude et chauffage. Charges: 135 euros par mois (assurance des murs, eau). La maison, bien que située dans l'hypercentre, est en retrait de la voie, dans un environnement très calme.

Proximité écoles, bus, pharmacie, banques, poste, mairie, commerces.. Quelques travaux de rafraîchissement sont à prévoir.

Quelques travaux de rafraîchissement sont à prévoir.";https://www.pap.fr/annonces/maison-fresnes-r446901695;Chemin d'Antony//Antony//La Croix de Berny
F35/0869 /  17 octobre 2024;75010.0;17/10/2024;395000.0;48.871954;2.355662;appartement;F;"Sous promesse de Vente
Idéalement situé proche de toutes les commodités.
Au niveau du métro Château d'eau (ligne 4).

Appartement 3 pièces orienté sud-ouest d'une superficie de 41m2 loi Carrez, au 3ème étage sur 4, calme, donnant sur cour avec vue dégagée sans vis-à-vis, il comporte :

Une salle à manger avec kitchenette, un séjour, une chambre avec placards de rangement et dressing, une salle de bains, wc séparés.

Une cave complète ce bien.

Double vitrage.
Chauffage : électrique
Compteur d'eau individuel
Charges de copropriété : 939€/an
Taxe foncière : 843€/an.  Logement à consommation énergétique excessive : classe F";https://www.pap.fr/annonces/appartement-paris-10e-75010-r453500869;Château d'Eau//Strasbourg - Saint-Denis//Jacques Bonsergent
F34/0870 /  17 octobre 2024;33950.0;17/10/2024;595000.0;44.786387;-1.159252;maison;A;"Dans un environnement calme et résidentiel à Lège- Cap-Ferret, belle villa de plain-pied de 117 m2, lumineuse vue forêt, composée d 'une entrée, séjour-salon sur terrasse couverte et sur piscine 3,80 X 7,00 exposée Ouest. une cuisine US aménagée et équipée, cellier, garage attenant, 3 chambres, Salle bains avec baignoire et douche. Climatisation réversible, 2 chalet bois en fond de parcelle, puits foré, terrain de 1000 m2 sans vis à vis. Estimation des coûts annuels d 'énergie du logement entre 890 € et 1290 € par an. Prix moyens des énergies indexés au 1er Janvier 2021 (abonnements compris).

Le prix de vente est de 595 000 €.

Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site www.georisques.gouv.fr. Agences s 'abstenir.";https://www.pap.fr/annonces/maison-lege-cap-ferret-33950-r453400870;
F34/0201 /  19 octobre 2024;91700.0;19/10/2024;372000.0;48.642159;2.325129;maison;E;"Meulière de caractère de 5 pièces entièrement rénovée avec des matériaux de qualité composée d'un rez-de-chaussée avec une entrée, un vaste séjour double lumineux avec un bow-window, une cuisine indépendante équipée et un wc.

A l'étage se trouvent quatre chambres de 7 à 12m2 (dont une avec un grand dressing sur mesure en bois massif), une salle d'eau avec double vasque, un second wc et un grenier à exploiter comme espace de stockage.

La maison est équipée de radiateurs alimentés au gaz dont la chaudière à condensation date de 2022. Des fenêtres en pvc double vitrage contribuent à une meilleure isolation thermique. La maison dont le terrain s'étend sur 367 m2 est agrémentée d'un jardin et d'un sous-sol total pouvant accueillir un véhicule. L'intérieur de la maison est en excellent état et a été rénové en prenant soin de chaque détail.

Cette maison se situe dans le quartier calme de la mairie et à proximité des écoles (crèche, maternelle, primaire et collège à moins de 10 min à pied), des commerces et de la gare. D'autres photos sont disponibles sur demande. Agences s'abstenir.";https://www.pap.fr/annonces/maison-sainte-genevieve-des-bois-91700-r453400201;Saint-Michel-sur-Orge//Sainte-Geneviève-des-Bois//Epinay-sur-Orge
